snapshot_month,payer_id,location_id,open_ar_amount,avg_ar_days,ar_0_30,ar_31_60,ar_61_90,ar_91_plus
2022-01-31,PY001,LC0001,3426.1899999999996,17.821157028652816,3426.19,0.0,0.0,0.0
2022-01-31,PY001,LC0002,623.82,4.0,623.82,0.0,0.0,0.0
2022-01-31,PY001,LC0003,1588.22,19.706444950951383,1588.22,0.0,0.0,0.0
2022-01-31,PY001,LC0004,2676.3199999999997,9.42732558139535,2676.3199999999997,0.0,0.0,0.0
2022-01-31,PY001,LC0005,6711.54,11.91685812794083,6711.54,0.0,0.0,0.0
2022-01-31,PY001,LC0006,2933.83,11.844701294894387,2933.83,0.0,0.0,0.0
2022-01-31,PY001,LC0007,1231.1,20.193721062464466,1231.1,0.0,0.0,0.0
2022-01-31,PY001,LC0008,5668.73,8.227604772144732,5668.73,0.0,0.0,0.0
2022-01-31,PY001,LC0009,2156.5299999999997,7.615076071281179,2156.5299999999997,0.0,0.0,0.0
2022-01-31,PY001,LC0010,1897.99,15.78687980442468,1897.99,0.0,0.0,0.0
2022-01-31,PY001,LC0011,3018.36,25.029572350547976,3018.36,0.0,0.0,0.0
2022-01-31,PY001,LC0013,890.8399999999999,22.307103408019398,890.8399999999999,0.0,0.0,0.0
2022-01-31,PY001,LC0014,3253.49,9.253235756065026,3253.49,0.0,0.0,0.0
2022-01-31,PY001,LC0015,4203.02,11.710291647434461,4203.020000000001,0.0,0.0,0.0
2022-01-31,PY001,LC0016,2126.51,13.982130345025416,2126.51,0.0,0.0,0.0
2022-01-31,PY001,LC0017,2127.31,20.899765431460388,2127.31,0.0,0.0,0.0
2022-01-31,PY001,LC0018,7626.56,13.639625204548318,7626.56,0.0,0.0,0.0
2022-01-31,PY001,LC0019,11673.1,17.667509915960633,11673.099999999999,0.0,0.0,0.0
2022-01-31,PY001,LC0020,359.0799999999999,26.517600534699785,359.0799999999999,0.0,0.0,0.0
2022-01-31,PY001,LC0021,2859.16,20.444333300689713,2859.16,0.0,0.0,0.0
2022-01-31,PY001,LC0022,1972.5200000000002,6.334130959381909,1972.5200000000002,0.0,0.0,0.0
2022-01-31,PY001,LC0023,502.97,5.505795574288725,502.97,0.0,0.0,0.0
2022-01-31,PY001,LC0025,4222.18,12.698989621475164,4222.179999999999,0.0,0.0,0.0
2022-01-31,PY001,LC0026,8253.84,14.562059598926076,8253.84,0.0,0.0,0.0
2022-01-31,PY001,LC0027,405.1,18.51634164403851,405.1,0.0,0.0,0.0
2022-01-31,PY001,LC0028,6856.19,14.825853717589508,6856.19,0.0,0.0,0.0
2022-01-31,PY001,LC0029,5366.38,9.132430055270031,5366.38,0.0,0.0,0.0
2022-01-31,PY001,LC0030,379.55,18.159610064550122,379.55,0.0,0.0,0.0
2022-01-31,PY001,LC0031,15557.74,11.242447167776294,15557.74,0.0,0.0,0.0
